ID;LABEL;MODULARITY
Tom et Jerry Show;Tom et Jerry Show;2
Top chef  le chef des chefs;Top chef  le chef des chefs;2
Dead Pixels;Dead Pixels;2
Rénovation impossible;Rénovation impossible;2
Présence protestante;Présence protestante;2
Top chef  les grands duels;Top chef  les grands duels;2
Il était une fois... la vie;Il était une fois... la vie;2
9 1 1 Lone Star;9 1 1 Lone Star;2
Bull 2016;Bull 2016;2
Les reportages de Martin Weill;Les reportages de Martin Weill;2
T'choupi et ses amis;T'choupi et ses amis;2
90' Enquêtes;90' Enquêtes;2
Faites entrer l'accusé;Faites entrer l'accusé;2
Rizzoli & Isles;Rizzoli & Isles;2
Les petits meurtres d'Agatha Christie;Les petits meurtres d'Agatha Christie;2
Enchères à tout prix;Enchères à tout prix;2
Léo Matteï, brigade des mineurs;Léo Matteï, brigade des mineurs;2
Zig & Sharko;Zig & Sharko;2
Moi à ton âge;Moi à ton âge;2
Le génie français;Le génie français;2
Yétili;Yétili;2
Les contes de Lupin;Les contes de Lupin;2
Juger Pétain;Juger Pétain;2
Les as de la jungle à la rescousse;Les as de la jungle à la rescousse;2
DC Super Hero Girls 2019;DC Super Hero Girls 2019;2
Tom et Jerry Tales;Tom et Jerry Tales;2
Tout est vrai (ou presque);Tout est vrai (ou presque);2
Enquête prioritaire;Enquête prioritaire;2
Garfield & Cie;Garfield & Cie;2
Occasions à saisir;Occasions à saisir;2
Secrets d'histoire;Secrets d'histoire;2
Sauveurs de trésors;Sauveurs de trésors;2
C'est toujours pas sorcier;C'est toujours pas sorcier;2
L'amour (presque) parfait;L'amour (presque) parfait;2
Les princes du tuning;Les princes du tuning;2
Les parcs nationaux américains;Les parcs nationaux américains;2
Furiki;Furiki;2
Géo Jet;Géo Jet;2
César et Capucine;César et Capucine;2
Dans les yeux d'Olivier;Dans les yeux d'Olivier;2
Mily Miss Questions;Mily Miss Questions;2
Retour à l'instinct primaire;Retour à l'instinct primaire;2
Total rénovation  frères en affaires;Total rénovation  frères en affaires;2
L'île aux 30 cercueils;L'île aux 30 cercueils;2
Dave (aka Lil Dicky);Dave (aka Lil Dicky);2
Manger bouger dormir;Manger bouger dormir;2
Scooby Doo en Europe;Scooby Doo en Europe;2
Coache moi si tu peux;Coache moi si tu peux;2
Unforgotten  le passé déterré;Unforgotten  le passé déterré;2
360° GEO;360° GEO;2
Polly Pocket 2018;Polly Pocket 2018;2
Shaun le champion;Shaun le champion;2
Deep Water 2019;Deep Water 2019;2
Hooten and the Lady  chasseurs de trésors;Hooten and the Lady  chasseurs de trésors;2
Oggy et les cafards   Next Gen;Oggy et les cafards   Next Gen;2
Storage Wars  enchères surprises;Storage Wars  enchères surprises;2
Good Doctor 2017;Good Doctor 2017;2
The Voice, la plus belle voix;The Voice, la plus belle voix;2
Mr Magoo 2019;Mr Magoo 2019;2
Les lapins crétins  invasion;Les lapins crétins  invasion;2
Shipping Wars  livraison impossible;Shipping Wars  livraison impossible;2
Marie Thérèse d'Autriche;Marie Thérèse d'Autriche;2
Vendredi, tout est permis avec Arthur;Vendredi, tout est permis avec Arthur;2
Les Windsor, une dynastie royale;Les Windsor, une dynastie royale;2
https://www.allocine.fr;https://www.allocine.fr;1
Demain nous appartient;Demain nous appartient;2
Red Light;Red Light;2
Normal People;Normal People;2
La montagne aux secrets;La montagne aux secrets;2
Encore vous ;Encore vous ;2
What We Do in the Shadows;What We Do in the Shadows;2
The Responder;The Responder;2
Des gens bien ordinaires;Des gens bien ordinaires;2
Pompon Ours;Pompon Ours;2
This Way Up;This Way Up;2
Sisbro;Sisbro;2
Dino Ranch;Dino Ranch;2
Ninja Express;Ninja Express;2
Pen15;Pen15;2
Flippé;Flippé;2
Disco Dragon;Disco Dragon;2
Organisation Super Insolite;Organisation Super Insolite;2
Kingdom Force;Kingdom Force;2
Anna et ses amis;Anna et ses amis;2
Mick le mini chef;Mick le mini chef;2
Sept nains et moi;Sept nains et moi;2
Les trésors perdus de la vallée des rois;Les trésors perdus de la vallée des rois;2
Ana Filoute;Ana Filoute;2
Viking Skool;Viking Skool;2
Les ours gourmands;Les ours gourmands;2
Les aventures de Paddington;Les aventures de Paddington;2
Rocky Kwaterner;Rocky Kwaterner;2
Mumfie;Mumfie;2
LEGO City Adventures;LEGO City Adventures;2
A Musée Vous, A Musée Moi;A Musée Vous, A Musée Moi;2
https://www.youtube.com;https://www.youtube.com;1
Les Marseillais au Mexique;Les Marseillais au Mexique;2
Affaires sensibles;Affaires sensibles;2
Masha et Michka;Masha et Michka;2
Ricky Zoom;Ricky Zoom;2
Le meilleur forgeron;Le meilleur forgeron;2
VIP Pets;VIP Pets;2
Beyblade Burst Turbo;Beyblade Burst Turbo;2
Blaze et les Monster Machines;Blaze et les Monster Machines;2
Custom Garage;Custom Garage;2
C dans l'air;C dans l'air;2
Le grand bêtisier;Le grand bêtisier;2
Culturebox Festival;Culturebox Festival;2
Enquête sous haute tension;Enquête sous haute tension;2
La France des mystères;La France des mystères;2
La légende de Spark;La légende de Spark;2
Mon animal fait la loi;Mon animal fait la loi;2
Football  Ligue 2 BKT;Football  Ligue 2 BKT;2
Chalets sur mesure;Chalets sur mesure;2
Tip la souris;Tip la souris;2
Simon Superlapin;Simon Superlapin;2
Ax Men;Ax Men;2
Streetphilosophy;Streetphilosophy;2
Animaux à adopter  nouvelle famille pour une nouvelle vie;Animaux à adopter  nouvelle famille pour une nouvelle vie;2
Enchères mécaniques;Enchères mécaniques;2
https://www.netflix.com;https://www.netflix.com;1
Turbo;Turbo;2
Bakugan Geogan Rising;Bakugan Geogan Rising;2
Les mécanos de Rust Valley;Les mécanos de Rust Valley;2
https://www2.hm.com;https://www2.hm.com;1
https://www.programme-tv.net;https://www.programme-tv.net;1
Sur le front;Sur le front;2
Et si on se rencontrait ;Et si on se rencontrait ;2
M comme Maison;M comme Maison;2
Les reines de la route;Les reines de la route;2
Familles nombreuses  la vie en XXL;Familles nombreuses  la vie en XXL;2
Vous avez un colis;Vous avez un colis;2
Too Cute;Too Cute;2
Rembob'INA;Rembob'INA;2
66 minutes  grand format;66 minutes  grand format;2
Douanes sous haute surveillance;Douanes sous haute surveillance;2
Familles mortelles;Familles mortelles;2
Les docs du week end;Les docs du week end;2
Habitations en péril;Habitations en péril;2
La folie du camping car;La folie du camping car;2
Reportages découverte;Reportages découverte;2
Expédition Pairi Daiza;Expédition Pairi Daiza;2
Factory XXL;Factory XXL;2
Ma piscine de rêve;Ma piscine de rêve;2
Dr Cath  Mission adoption;Dr Cath  Mission adoption;2
Snapped  les couples tueurs;Snapped  les couples tueurs;2
Le cosmos et les origines de la vie;Le cosmos et les origines de la vie;2
Incroyables mariages gitans;Incroyables mariages gitans;2
Chasseurs de tanks;Chasseurs de tanks;2
Snapped  fratrie meurtrière;Snapped  fratrie meurtrière;2
Pour l'amour de Louisa;Pour l'amour de Louisa;2
Les effrontées  le cinéma au féminin;Les effrontées  le cinéma au féminin;2
24 heures aux urgences;24 heures aux urgences;2
La science des forces de la nature;La science des forces de la nature;2
Asphalt Cowboys;Asphalt Cowboys;2
La véritable histoire des Templiers;La véritable histoire des Templiers;2
Americars  pièces détachées;Americars  pièces détachées;2
Skateboard  Horizon verticale;Skateboard  Horizon verticale;2
Snapped  les femmes tueuses;Snapped  les femmes tueuses;2
https://fr.wiktionary.org;https://fr.wiktionary.org;1
Autour de;Autour de;2
Hobbies;Hobbies;2
Nawak;Nawak;2
https://www.lindependant.fr;https://www.lindependant.fr;1
https://www.larousse.fr;https://www.larousse.fr;1
https://www.linternaute.fr;https://www.linternaute.fr;1
https://dictionnaire.lerobert.com;https://dictionnaire.lerobert.com;1
https://www.cnrtl.fr;https://www.cnrtl.fr;1
https://www.lalanguefrancaise.com;https://www.lalanguefrancaise.com;1
https://www.france.tv;https://www.france.tv;1
Au galop ;Au galop ;2
Cap Sud Ouest;Cap Sud Ouest;2
Histoires de mots;Histoires de mots;2
Zafari;Zafari;2
Recherche héritiers;Recherche héritiers;2
Petit Malabar;Petit Malabar;2
Les avions du bout du monde;Les avions du bout du monde;2
La vie secrète des chansons;La vie secrète des chansons;2
La famille Blaireau Renard;La famille Blaireau Renard;2
Drôles de villes pour une rencontre;Drôles de villes pour une rencontre;2
https://www.linguee.fr;https://www.linguee.fr;1
https://fr-fr.facebook.com;https://fr-fr.facebook.com;1
Van Mecanic;Van Mecanic;2
Terra Terre;Terra Terre;2
Grands reportages;Grands reportages;2
Cleaners les experts du ménage;Cleaners les experts du ménage;2
Constructions sauvages;Constructions sauvages;2
Jade Fever;Jade Fever;2
Une saison à la Juilliard School;Une saison à la Juilliard School;2
Pompiers  leur vie en direct;Pompiers  leur vie en direct;2
https://langue-francaise.tv5monde.com;https://langue-francaise.tv5monde.com;1
https://www.seloger.com;https://www.seloger.com;1
Maison à vendre;Maison à vendre;2
https://www.avendrealouer.fr;https://www.avendrealouer.fr;1
https://www.entreparticuliers.com;https://www.entreparticuliers.com;1
https://www.paruvendu.fr;https://www.paruvendu.fr;1
Design auto;Design auto;2
https://www.bienici.com;https://www.bienici.com;1
https://www.immobilier-france.fr;https://www.immobilier-france.fr;1
https://www.lesiteimmo.com;https://www.lesiteimmo.com;1
https://www.nestoria.fr;https://www.nestoria.fr;1
https://www.laforet.com;https://www.laforet.com;1
https://www.geo.fr;https://www.geo.fr;1
https://www.elle.fr;https://www.elle.fr;1
https://www.herodote.net;https://www.herodote.net;1
https://www.journaldesfemmes.fr;https://www.journaldesfemmes.fr;1
https://fr.vikidia.org;https://fr.vikidia.org;1
https://www.plusbellelavie.org;https://www.plusbellelavie.org;1
https://www.linternaute.com;https://www.linternaute.com;1
Mission protection;Mission protection;2
Square artiste;Square artiste;2
Habitations en péril  le ranch des Raney;Habitations en péril  le ranch des Raney;2
Terre en furie;Terre en furie;2
https://www.instagram.com;https://www.instagram.com;1
https://www.tf1.fr;https://www.tf1.fr;1
Bubiloons;Bubiloons;2
Le doc Quotidien;Le doc Quotidien;2
https://twitter.com;https://twitter.com;1
https://www.ouest-france.fr;https://www.ouest-france.fr;1
https://www.20minutes.fr;https://www.20minutes.fr;1
https://www.public.fr;https://www.public.fr;1
https://www.huffingtonpost.fr;https://www.huffingtonpost.fr;1
https://www.lefigaro.fr;https://www.lefigaro.fr;1
https://www.leblogtvnews.com;https://www.leblogtvnews.com;1
https://www.facebook.com;https://www.facebook.com;1
Les mamans;Les mamans;2
Les Paris du globe cooker;Les Paris du globe cooker;2
https://www.capital.fr;https://www.capital.fr;1
https://www.6play.fr;https://www.6play.fr;1
Animaux VIP;Animaux VIP;2
Les routes les plus dangereuses du monde;Les routes les plus dangereuses du monde;2
Rénovation Island  un chantier au paradis;Rénovation Island  un chantier au paradis;2
Outback Nation  sauvez mon jardin ;Outback Nation  sauvez mon jardin ;2
https://www.prismashop.fr;https://www.prismashop.fr;1
https://www.pokemon.com;https://www.pokemon.com;1
https://www.pokemon-france.com;https://www.pokemon-france.com;1
https://pokemongolive.com;https://pokemongolive.com;1
https://www.pokebip.com;https://www.pokebip.com;1
https://www.jeuxvideo.com;https://www.jeuxvideo.com;1
https://www.tf1info.fr;https://www.tf1info.fr;1
https://www.purepeople.com;https://www.purepeople.com;1
https://www.parents.fr;https://www.parents.fr;1
https://www.polroger.com;https://www.polroger.com;1
https://www.patrickroger.com;https://www.patrickroger.com;1
https://fr.pons.com;https://fr.pons.com;1
https://www.wordreference.com;https://www.wordreference.com;1
https://dictionary.cambridge.org;https://dictionary.cambridge.org;1
https://wallstreetenglish.fr;https://wallstreetenglish.fr;1
https://www.gymglish.com;https://www.gymglish.com;1
https://www.lequipe.fr;https://www.lequipe.fr;1
Rugby  Pro D2;Rugby  Pro D2;2
Rugby  Top 14;Rugby  Top 14;2
Football Ligue des champions;Football Ligue des champions;2
https://www.eurosport.fr;https://www.eurosport.fr;1
https://www.simon.fr;https://www.simon.fr;1
https://simon-et-cie.com;https://simon-et-cie.com;1
https://www.turbo.fr;https://www.turbo.fr;1
https://www.mister-turbo.com;https://www.mister-turbo.com;1
https://iturbo.fr;https://iturbo.fr;1
https://www.sam-outillage.fr;https://www.sam-outillage.fr;1
https://www.lavoixdunord.fr;https://www.lavoixdunord.fr;1
https://www.manomano.fr;https://www.manomano.fr;1
https://www.bricozor.com;https://www.bricozor.com;1
https://messes.info;https://messes.info;1
https://eglise.catholique.fr;https://eglise.catholique.fr;1
https://m.youtube.com;https://m.youtube.com;1
https://www.nouveautes-tele.com;https://www.nouveautes-tele.com;1
https://www.familiscope.fr;https://www.familiscope.fr;1
https://www.programme-television.org;https://www.programme-television.org;1
Arte regards;Arte regards;2
Crimes et faits divers  le prime;Crimes et faits divers  le prime;2
https://www.microsoft.com;https://www.microsoft.com;1
https://support.microsoft.com;https://support.microsoft.com;1
https://acces-editions.com;https://acces-editions.com;1
https://fr.wikihow.com;https://fr.wikihow.com;1
https://fr.linkedin.com;https://fr.linkedin.com;1
https://www.salto.fr;https://www.salto.fr;1
https://eden.fftir.org;https://eden.fftir.org;1
https://www.fftir.org;https://www.fftir.org;1
https://www.edencluster.com;https://www.edencluster.com;1
https://www.premiere.fr;https://www.premiere.fr;1
https://www.imdb.com;https://www.imdb.com;1
Ninjago 2019;Ninjago 2019;2
https://www.vogue.fr;https://www.vogue.fr;1
https://friends.hypnoweb.net;https://friends.hypnoweb.net;1
https://www.nextdirect.com;https://www.nextdirect.com;1
https://www.zalando.fr;https://www.zalando.fr;1
https://www.next.co.uk;https://www.next.co.uk;1
https://www.laredoute.fr;https://www.laredoute.fr;1
https://dictionnaire.reverso.net;https://dictionnaire.reverso.net;1
https://www.noovomoi.ca;https://www.noovomoi.ca;1
https://www.marieclaire.fr;https://www.marieclaire.fr;1
https://labougieherbivore.com;https://labougieherbivore.com;1
https://scorpionsports.eu;https://scorpionsports.eu;1
https://cuisine.journaldesfemmes.fr;https://cuisine.journaldesfemmes.fr;1
https://www.cuisineaz.com;https://www.cuisineaz.com;1
http://prenoms.famili.fr;http://prenoms.famili.fr;1
https://www.marionnaud.fr;https://www.marionnaud.fr;1
https://nautisme-innovation-numerique-atlantique.fr;https://nautisme-innovation-numerique-atlantique.fr;1
https://www.legrandrex.com;https://www.legrandrex.com;1
